"Brand","Voltage","Time","Battery"
"Energizer",1.3,1.4,1
"Energizer",1.3,1.39,2
"Energizer",1.3,1.35,3
"Energizer",1.3,1.38,4
"Energizer",1.3,1.35,5
"Energizer",1.3,1.36,6
"Energizer",1.3,1.31,7
"Energizer",1.3,1.26,8
"Energizer",1.3,1.37,9
"Energizer",1.2,2.86,1
"Energizer",1.2,2.77,2
"Energizer",1.2,2.71,3
"Energizer",1.2,2.81,4
"Energizer",1.2,2.65,5
"Energizer",1.2,2.73,6
"Energizer",1.2,2.48,7
"Energizer",1.2,2.44,8
"Energizer",1.2,2.76,9
"Energizer",1.1,5.71,1
"Energizer",1.1,5.64,2
"Energizer",1.1,5.63,3
"Energizer",1.1,5.78,4
"Energizer",1.1,5.63,5
"Energizer",1.1,5.7,6
"Energizer",1.1,4.65,7
"Energizer",1.1,4.67,8
"Energizer",1.1,5.57,9
"Energizer",1,7.58,1
"Energizer",1,7.46,2
"Energizer",1,7.46,3
"Energizer",1,7.59,4
"Energizer",1,7.46,5
"Energizer",1,7.52,6
"Energizer",1,6.83,7
"Energizer",1,6.89,8
"Energizer",1,7.45,9
"Energizer",0.9,8.45,1
"Energizer",0.9,8.34,2
"Energizer",0.9,8.35,3
"Energizer",0.9,8.49,4
"Energizer",0.9,8.33,5
"Energizer",0.9,8.41,6
"Energizer",0.9,7.88,7
"Energizer",0.9,7.94,8
"Energizer",0.9,8.32,9
"Energizer",0.8,8.86,1
"Energizer",0.8,8.65,2
"Energizer",0.8,8.74,3
"Energizer",0.8,8.91,4
"Energizer",0.8,8.72,5
"Energizer",0.8,8.85,6
"Energizer",0.8,8.52,7
"Energizer",0.8,8.62,8
"Energizer",0.8,8.68,9
"Ultracell",1.3,1.56,1
"Ultracell",1.3,1.54,2
"Ultracell",1.3,1.53,3
"Ultracell",1.3,1.54,4
"Ultracell",1.3,1.54,5
"Ultracell",1.3,1.47,6
"Ultracell",1.3,1.49,7
"Ultracell",1.3,1.54,8
"Ultracell",1.3,1.5,9
"Ultracell",1.2,3.57,1
"Ultracell",1.2,3.55,2
"Ultracell",1.2,3.55,3
"Ultracell",1.2,3.54,4
"Ultracell",1.2,3.54,5
"Ultracell",1.2,3.51,6
"Ultracell",1.2,3.54,7
"Ultracell",1.2,3.54,8
"Ultracell",1.2,3.56,9
"Ultracell",1.1,5.76,1
"Ultracell",1.1,5.73,2
"Ultracell",1.1,5.74,3
"Ultracell",1.1,5.71,4
"Ultracell",1.1,5.72,5
"Ultracell",1.1,5.72,6
"Ultracell",1.1,5.71,7
"Ultracell",1.1,5.68,8
"Ultracell",1.1,5.74,9
"Ultracell",1,7.5,1
"Ultracell",1,7.48,2
"Ultracell",1,7.47,3
"Ultracell",1,7.48,4
"Ultracell",1,7.48,5
"Ultracell",1,7.41,6
"Ultracell",1,7.47,7
"Ultracell",1,6.96,8
"Ultracell",1,7.48,9
"Ultracell",0.9,8.35,1
"Ultracell",0.9,8.35,2
"Ultracell",0.9,8.32,3
"Ultracell",0.9,8.32,4
"Ultracell",0.9,8.31,5
"Ultracell",0.9,8.28,6
"Ultracell",0.9,7.99,7
"Ultracell",0.9,7.93,8
"Ultracell",0.9,8.34,9
"Ultracell",0.8,8.76,1
"Ultracell",0.8,8.81,2
"Ultracell",0.8,8.81,3
"Ultracell",0.8,8.7,4
"Ultracell",0.8,8.73,5
"Ultracell",0.8,8.76,6
"Ultracell",0.8,8.68,7
"Ultracell",0.8,8.64,8
"Ultracell",0.8,8.79,9
