"","BL","BH","Chest","Waist"
"1",47,45,56,48
"2",48,44,48,41
"3",50,45,50,42
"4",50,48,57,49
"5",51,50,60,54
"6",53,45,54,46
"7",52,45,43,38
"8",57,50,60,45
"9",50,46,61,51
"10",52,47,52,45
"11",48,45,57,47
"12",57,52,70,57
"13",57,51,57,44
"14",50,48,60,48
"15",52,47,58,46
"16",58,57,60,52
"17",62,55,64,49
"18",50,40,46,37
"19",53,50,58,48
"20",46,43,60,50
"21",48,45,50,40
"22",55,48,53,42
"23",53,49,58,51
"24",54,52,58,50
"25",45,37,50,39
"26",50,47,54,43
"27",50,49,59,49
"28",60,55,63,52
"29",53,52,52,43
"30",55,50,60,50
