"","Student","No","Yes","Diff"
"1",1,604,636,32
"2",2,556,623,67
"3",3,540,615,75
"4",4,522,672,150
"5",5,459,601,142
"6",6,544,600,56
"7",7,513,542,29
"8",8,470,554,84
"9",9,556,543,-13
"10",10,531,520,-11
"11",11,599,609,10
"12",12,537,559,22
"13",13,619,595,-24
"14",14,536,565,29
"15",15,554,573,19
"16",16,467,554,87
"17",17,525,626,101
"18",18,508,501,-7
"19",19,529,574,45
"20",20,470,468,-2
"21",21,512,578,66
"22",22,487,560,73
"23",23,515,525,10
"24",24,499,647,148
"25",25,448,456,8
"26",26,558,688,130
"27",27,589,679,90
"28",28,814,960,146
"29",29,519,558,39
"30",30,462,482,20
"31",31,521,527,6
"32",32,543,536,-7
