"Sample","Gravel","Sand","Clay","Type","LL","PL","PI","Type2","MDD","OMC","CBR"
1,0,27.15,72.85,"Fine grained ",28.46,20.24,8.22,"ML",1.65,14.56,5.56
2,2.35,28.94,68.71,"Fine grained ",34.62,26.65,7.97,"ML",1.7,15.11,5.62
3,1.31,28.94,68.71,"Fine grained",34.92,27.4,7.52,"ML",1.71,15.2,5.77
4,0.64,30.14,69.22,"Fine grained",35.2,27.51,7.69,"MI",1.69,15.35,5.69
5,4.71,36.52,58.77,"Fine grained",34.42,27.47,6.95,"ML",1.72,15.62,5.81
6,2.39,35.23,62.38,"Fine grained",29.35,23.23,6.12,"ML",1.77,14.39,6.12
7,1.44,35.01,63.55,"Fine grained",30.34,23.78,6.56,"ML",1.76,14.92,6.1
8,0.35,29.44,70.21,"Fine grained",36.78,28.32,8.46,"MI",1.64,15.82,5.72
9,2.35,28.94,68.71,"Fine grained",32.21,25.69,6.52,"ML",1.75,14.42,6.2
10,1.87,26.92,71.21,"Fine grained",34.25,27.53,6.72,"ML",1.74,14.16,6.05
11,0,25.94,74.06,"Fine grained",35.69,28.54,7.15,"MI",1.73,15.62,5.95
12,2.65,18.12,79.23,"Fine grained",36.29,28.18,8.11,"MI",1.62,15.76,5.67
13,1.25,27.64,71.11,"Fine grained",35.23,27.88,7.35,"MI",1.66,15.52,5.92
14,3.81,26.92,69.27,"Fine grained",36.23,28.98,7.25,"MI",1.68,15.62,5.88
15,3.35,13.44,83.21,"Fine grained",34.56,26.44,8.12,"ML",1.71,15.4,5.98
16,2.38,28.21,69.41,"Fine grained",35.36,28.34,7.02,"MI",1.74,14.65,6.02
