"Hybrids","Insecticide","Height","Tunnels","PanicleLength","PanicleWeight","Infestation","Yield"
"AG1090","without",87.7,13.5,22.29,32.57,10.57,2844.12
"AG1090","without",97.09,12.4,25.46,36.03,13.29,3055.69
"AG1090","without",104,11.3,23.95,36.22,18.64,3025.14
"AG1090","without",102.52,12.2,25.75,37.62,11.43,3101.36
"BRS373","without",78.39,11.5,24.73,25.74,10.85,2728.52
"BRS373","without",72.01,9.3,22.72,24.34,12.63,2493.02
"BRS373","without",89.51,12,25.07,26.98,16.46,2086.21
"BRS373","without",84.35,12.5,24.91,26.29,15.77,2083.33
"DKB590","without",81.88,11.3,22.19,25.8,12.69,1475.14
"DKB590","without",82.22,10,24.09,28.48,14.43,1081.21
"DKB590","without",81.63,12.2,26.73,25.61,12.88,1122.07
"DKB590","without",76.54,10.3,25.52,22.86,17.17,1583.33
"AG1090","with",98.22,4.1,30.98,43.99,5.53,4539.9
"AG1090","with",96.71,7.1,29.13,52.19,6.93,3958.21
"AG1090","with",103.34,8.4,32.63,51.24,7.12,4406.95
"AG1090","with",108.13,8,28.57,57.6,9.76,3996.55
"BRS373","with",95.85,2.1,30.47,31.97,5.32,3462.14
"BRS373","with",97.74,4.8,28.52,31.19,6.38,3550.55
"BRS373","with",97.55,5.4,29.4,37.28,3.05,3108.55
"BRS373","with",98,7.5,31.96,33.62,8.71,3866.31
"DKB590","with",97.95,7.8,30.8,31.89,7.51,3261.57
"DKB590","with",96.11,9.4,29.38,32.86,4.97,3023.24
"DKB590","with",96.26,8.4,31.96,35.29,5.08,3767.88
"DKB590","with",103.65,9.7,30.88,33.57,5.06,3089.52
"AG1090","without",79.09,12.52,28.76,74.86,9.3,3886.12
"AG1090","without",91.28,14.08,28.21,63.76,7.43,3450.52
"AG1090","without",88.72,15.25,28.56,73.7,8.07,3876.07
"AG1090","without",87.12,12,28.87,78.56,8.15,3876.07
"BRS373","without",70.73,13.47,25.58,42.35,13.95,3322.83
"BRS373","without",69.04,14.04,26.05,46.56,10.58,3565.26
"BRS373","without",70.08,15.33,29.24,57.69,10.93,3556.31
"BRS373","without",72.65,19.59,28,52.9,12.99,3970.1
"DKB590","without",84,18.48,25.6,68.77,8.42,3313.45
"DKB590","without",84.24,10.11,24.03,56.65,9.35,3995.62
"DKB590","without",84.38,22.56,28,66.27,8.81,3347.19
"DKB590","without",88.23,10.75,28.89,71.99,7.08,3631.67
"AG1090","with",94.53,5.22,31.94,101.94,0.8,4431.74
"AG1090","with",96.19,5,30.55,82.78,0.95,4989.21
"AG1090","with",96.7,3.63,32.54,95.95,0.94,5773.88
"AG1090","with",94.2,5,30.27,80.76,0.31,4892.93
"BRS373","with",78.12,3.31,30.17,98.01,1.74,4514.71
"BRS373","with",78.79,6.5,30.64,80.92,1.09,4375.88
"BRS373","with",81.76,8.8,31.35,72.83,2.08,5139.62
"BRS373","with",80.78,4.75,30.25,72.32,2.04,4678.1
"DKB590","with",91,0,32,84.81,0,4989.17
"DKB590","with",90.21,4,31.58,105.65,1.64,4812.24
"DKB590","with",94.9,2,30.73,95.28,0.6,5177
"DKB590","with",93.56,5,30.5,82.23,0.56,5137.33
"AG1090","without",80.31,12.66,27.31,52.27,35.99,1135.71
"AG1090","without",81.27,12.3,28.79,60.99,37.92,1148.88
"AG1090","without",81.12,13.69,25.96,44.49,38.19,1163.69
"AG1090","without",81.03,12.11,28.13,59.86,35.79,1109.62
"BRS373","without",70.66,11.05,24.23,24.3,35.66,1386.86
"BRS373","without",75.21,11.05,24.74,31.07,35.53,1572.67
"BRS373","without",73.65,10.18,25.96,33.4,35.3,1526.14
"BRS373","without",71.59,11.1,25.81,34.43,39.44,1522.62
"DKB590","without",87.46,14.23,25.41,20.67,37.05,1003.81
"DKB590","without",82.07,12.67,25.77,20.6,34.97,1029.24
"DKB590","without",80.39,12.48,23.95,26.02,34.48,1096.67
"DKB590","without",84.46,15.37,25.08,27.36,35.49,1020.45
"AG1090","with",90.87,5.37,31.21,51.02,27.42,1573.81
"AG1090","with",93.41,6.32,29.97,66.26,27.09,1587.57
"AG1090","with",91.16,6.75,30.71,91.99,25.01,2403.9
"AG1090","with",92.14,6.95,29.58,95.21,23.04,3819.29
"BRS373","with",86.28,5.45,29.96,53.55,29.78,2103.9
"BRS373","with",84.89,5.71,29.99,50.03,28.93,2026.45
"BRS373","with",84.45,3.22,28.71,46.35,29.94,2079.45
"BRS373","with",86.96,5.4,29.31,49.58,28.25,2093.21
"DKB590","with",95.4,7.04,27.19,50.56,27.39,1742.45
"DKB590","with",94.53,7.15,28.85,44.58,25.35,1664.95
"DKB590","with",95.63,6.71,28.32,51.58,23.99,1518.21
"DKB590","with",90.65,7.95,29.47,60.28,27.66,1476.31
