"When","Deceleration"
"Before",0.108
"Before",0.064
"Before",0.002
"Before",0.029
"Before",0.167
"Before",0.042
"Before",0.113
"Before",0.053
"Before",0.035
"Before",-0.062
"Before",0.063
"Before",0.107
"Before",0.081
"Before",0.102
"Before",0.054
"Before",0.003
"Before",0.042
"Before",0.07
"Before",0.023
"Before",0.028
"Before",0.08
"Before",0.061
"Before",0.031
"Before",0.071
"Before",0.113
"Before",0.126
"Before",0.084
"Before",0.043
"Before",0.096
"Before",0.151
"Before",0.114
"Before",0.154
"Before",0.107
"Before",0.173
"Before",0.084
"Before",0.126
"Before",0.044
"Before",0.048
"After",0.134
"After",-0.113
"After",-0.052
"After",0.093
"After",0.08
"After",0.044
"After",0.043
"After",0.064
"After",0.074
"After",0.093
"After",0.095
"After",0.054
"After",0.118
"After",0.154
"After",0.076
"After",0.113
"After",0.083
"After",0.064
"After",0.057
"After",0.076
"After",0.167
"After",0.076
"After",0.107
"After",0.044
"After",0.175
"After",0.085
"After",0.037
"After",0.147
"After",0.089
"After",0.074
"After",0.085
"After",0.079
"After",0.119
"After",0.014
"After",0.093
"After",0.095
"After",0.046
"After",0.007
"After",0.063
"After",0.087
"After",0.096
